,Date,Store,DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday
541899,2014-05-02,378.0,5.0,9107.0,1.0,1.0,0,0.0
541900,2014-05-02,379.0,5.0,5750.0,1.0,1.0,0,1.0
541901,2014-05-02,351.0,5.0,8795.0,1.0,1.0,,0.0
541902,2014-05-02,374.0,5.0,9119.0,1.0,1.0,0,1.0
541903,2014-05-02,,5.0,8627.0,1.0,1.0,0,1.0
541904,2014-05-02,,5.0,10074.0,1.0,1.0,0,1.0
541905,2014-05-02,365.0,5.0,7212.0,1.0,1.0,0,0.0
541906,2014-05-02,364.0,5.0,7028.0,1.0,1.0,0,0.0
541907,2014-05-02,363.0,5.0,9698.0,1.0,1.0,0,1.0
541908,2014-05-02,362.0,5.0,13449.0,1.0,1.0,0,
541909,2014-05-02,361.0,5.0,10005.0,1.0,1.0,0,0.0
541910,2014-05-02,359.0,5.0,10395.0,1.0,1.0,0,0.0
541911,2014-05-02,358.0,5.0,15311.0,1.0,1.0,0,0.0
541912,2014-05-02,357.0,5.0,12121.0,1.0,1.0,0,0.0
541913,2014-05-02,356.0,5.0,7812.0,1.0,1.0,0,0.0
541914,2014-05-02,355.0,5.0,13382.0,1.0,1.0,0,1.0
541915,2014-05-02,354.0,5.0,12059.0,1.0,1.0,0,0.0
541916,2014-05-02,353.0,5.0,5828.0,1.0,1.0,0,0.0
541917,2014-05-02,352.0,5.0,9933.0,1.0,,0,1.0
541918,2014-05-02,381.0,5.0,11130.0,1.0,,0,0.0
541919,2014-05-02,366.0,5.0,9432.0,1.0,1.0,0,0.0
541920,2014-05-02,382.0,5.0,12301.0,1.0,1.0,0,0.0
541921,2014-05-02,399.0,5.0,7615.0,1.0,1.0,0,0.0
541922,2014-05-02,384.0,5.0,11823.0,1.0,1.0,0,1.0
541923,2014-05-02,350.0,5.0,10219.0,1.0,1.0,0,0.0
541924,2014-05-02,415.0,5.0,9574.0,,1.0,0,0.0
541926,2014-05-02,413.0,5.0,10138.0,1.0,1.0,0,0.0
541928,2014-05-02,411.0,5.0,14065.0,1.0,1.0,0,0.0
541929,2014-05-02,410.0,5.0,9790.0,1.0,1.0,0,0.0
541930,2014-05-02,409.0,5.0,8356.0,1.0,1.0,0,0.0
541931,2014-05-02,408.0,5.0,5403.0,1.0,1.0,0,0.0
541932,2014-05-02,407.0,5.0,4844.0,1.0,1.0,0,0.0
541933,2014-05-02,406.0,5.0,9095.0,1.0,1.0,0,0.0
541934,2014-05-02,405.0,5.0,6359.0,1.0,1.0,0,0.0
541935,2014-05-02,404.0,5.0,6636.0,1.0,1.0,0,0.0
541936,2014-05-02,403.0,5.0,10269.0,1.0,1.0,0,0.0
541937,2014-05-02,402.0,5.0,10734.0,1.0,1.0,0,0.0
541938,2014-05-02,401.0,5.0,10588.0,1.0,1.0,0,0.0
541939,2014-05-02,400.0,5.0,11901.0,1.0,1.0,0,1.0
541940,2014-05-02,385.0,,12462.0,1.0,1.0,0,0.0
541941,2014-05-02,386.0,5.0,12654.0,1.0,1.0,0,0.0
541942,2014-05-02,387.0,5.0,13648.0,1.0,1.0,0,0.0
541943,2014-05-02,388.0,5.0,15038.0,1.0,1.0,0,0.0
541944,2014-05-02,389.0,5.0,13621.0,1.0,1.0,0,1.0
541945,2014-05-02,390.0,5.0,16360.0,1.0,,0,1.0
541946,2014-05-02,383.0,5.0,25083.0,1.0,1.0,0,0.0
541947,2014-05-02,391.0,5.0,7814.0,1.0,1.0,0,0.0
541948,2014-05-02,393.0,5.0,8556.0,1.0,,0,0.0
541949,2014-05-02,394.0,5.0,12262.0,1.0,1.0,0,0.0
541950,2014-05-02,395.0,5.0,6201.0,1.0,1.0,0,0.0
541951,2014-05-02,396.0,5.0,16409.0,1.0,1.0,0,0.0
541952,2014-05-02,397.0,5.0,8393.0,1.0,1.0,0,0.0
541953,2014-05-02,398.0,5.0,8828.0,1.0,1.0,0,1.0
541954,2014-05-02,392.0,5.0,10398.0,1.0,1.0,0,0.0
541955,2014-05-02,349.0,5.0,10648.0,1.0,1.0,0,1.0
541956,2014-05-02,281.0,5.0,8742.0,1.0,1.0,0,1.0
541957,2014-05-02,347.0,5.0,7519.0,1.0,1.0,0,0.0
541958,2014-05-02,311.0,5.0,9808.0,1.0,1.0,,0.0
541959,2014-05-02,310.0,5.0,14155.0,1.0,1.0,0,1.0
541960,2014-05-02,309.0,5.0,8624.0,1.0,1.0,0,0.0
541961,2014-05-02,308.0,5.0,13417.0,1.0,1.0,0,0.0
541962,2014-05-02,307.0,5.0,4794.0,1.0,1.0,0,1.0
541963,2014-05-02,306.0,5.0,5944.0,1.0,,0,0.0
541964,2014-05-02,305.0,5.0,7684.0,1.0,1.0,0,0.0
541965,2014-05-02,304.0,5.0,11227.0,1.0,1.0,0,1.0
541966,2014-05-02,303.0,5.0,8376.0,1.0,1.0,0,0.0
541967,2014-05-02,302.0,5.0,6174.0,1.0,1.0,0,0.0
541968,2014-05-02,301.0,5.0,8250.0,,1.0,0,1.0
541969,2014-05-02,300.0,5.0,11676.0,1.0,1.0,0,0.0
541970,2014-05-02,299.0,5.0,12650.0,1.0,1.0,0,1.0
541971,2014-05-02,298.0,5.0,12956.0,1.0,1.0,0,0.0
541972,2014-05-02,297.0,5.0,9780.0,1.0,1.0,0,0.0
541973,2014-05-02,296.0,5.0,10081.0,1.0,1.0,0,0.0
541974,2014-05-02,295.0,5.0,8113.0,1.0,1.0,0,0.0
541975,2014-05-02,416.0,5.0,14654.0,1.0,1.0,0,1.0
541976,2014-05-02,282.0,5.0,5525.0,1.0,1.0,0,1.0
541977,2014-05-02,283.0,5.0,9736.0,1.0,1.0,0,0.0
541978,2014-05-02,284.0,5.0,7308.0,1.0,1.0,0,0.0
541979,2014-05-02,285.0,5.0,7241.0,1.0,1.0,0,0.0
541980,2014-05-02,286.0,5.0,8064.0,1.0,1.0,0,1.0
541981,2014-05-02,312.0,5.0,8150.0,,1.0,,0.0
541982,2014-05-02,287.0,5.0,10571.0,1.0,1.0,0,0.0
541983,2014-05-02,289.0,5.0,9684.0,1.0,1.0,0,0.0
541984,2014-05-02,,5.0,11111.0,1.0,1.0,0,0.0
541985,2014-05-02,291.0,5.0,12620.0,1.0,1.0,0,0.0
541986,2014-05-02,292.0,5.0,7243.0,1.0,1.0,0,1.0
541987,2014-05-02,293.0,5.0,8859.0,,1.0,0,1.0
541988,2014-05-02,294.0,5.0,7388.0,1.0,1.0,0,0.0
541989,2014-05-02,288.0,5.0,8503.0,1.0,1.0,0,0.0
541990,2014-05-02,348.0,5.0,11886.0,1.0,1.0,0,0.0
541991,2014-05-02,313.0,5.0,10436.0,1.0,1.0,0,1.0
541992,2014-05-02,315.0,5.0,7011.0,1.0,1.0,0,1.0
541993,2014-05-02,346.0,5.0,9563.0,1.0,1.0,0,0.0
541994,2014-05-02,345.0,5.0,6932.0,1.0,1.0,0,0.0
541995,2014-05-02,344.0,5.0,11718.0,1.0,1.0,0,1.0
541996,2014-05-02,343.0,5.0,11190.0,1.0,1.0,0,0.0
541997,2014-05-02,342.0,5.0,13921.0,1.0,1.0,0,0.0
541998,2014-05-02,341.0,5.0,8313.0,1.0,1.0,0,0.0
541999,2014-05-02,340.0,5.0,8843.0,1.0,1.0,0,1.0
542000,2014-05-02,339.0,5.0,7487.0,1.0,1.0,0,0.0
542001,2014-05-02,338.0,5.0,11343.0,1.0,1.0,0,0.0
542002,2014-05-02,337.0,5.0,7698.0,,1.0,0,0.0
542003,2014-05-02,336.0,5.0,18920.0,1.0,1.0,0,0.0
542004,2014-05-02,335.0,5.0,18355.0,1.0,1.0,0,0.0
542005,2014-05-02,334.0,5.0,7113.0,,1.0,0,0.0
542006,2014-05-02,333.0,,13575.0,1.0,1.0,0,1.0
542007,2014-05-02,332.0,5.0,4981.0,1.0,1.0,0,0.0
542008,2014-05-02,331.0,5.0,9892.0,1.0,1.0,0,0.0
542009,2014-05-02,330.0,5.0,6245.0,1.0,1.0,0,0.0
542010,2014-05-02,316.0,5.0,15598.0,1.0,1.0,0,0.0
542011,2014-05-02,317.0,5.0,7887.0,1.0,1.0,0,0.0
542012,2014-05-02,318.0,5.0,11883.0,1.0,1.0,0,0.0
542013,2014-05-02,319.0,5.0,11599.0,1.0,1.0,,1.0
542014,2014-05-02,320.0,5.0,22237.0,1.0,1.0,0,1.0
542015,2014-05-02,321.0,5.0,10685.0,1.0,1.0,0,0.0
542016,2014-05-02,314.0,5.0,6798.0,1.0,1.0,0,0.0
542017,2014-05-02,322.0,5.0,7037.0,1.0,1.0,0,1.0
542018,2014-05-02,324.0,5.0,6844.0,1.0,1.0,0,0.0
542019,2014-05-02,325.0,5.0,8017.0,1.0,1.0,0,0.0
542020,2014-05-02,326.0,5.0,7789.0,1.0,1.0,0,0.0
542022,2014-05-02,328.0,5.0,6915.0,1.0,1.0,0,0.0
542023,2014-05-02,329.0,5.0,11022.0,1.0,1.0,0,0.0
542024,2014-05-02,323.0,5.0,9702.0,1.0,,0,0.0
542026,2014-05-02,555.0,5.0,7194.0,1.0,1.0,0,0.0
542027,2014-05-02,419.0,5.0,7580.0,1.0,1.0,0,1.0
542028,2014-05-02,520.0,5.0,5695.0,1.0,1.0,0,1.0
542029,2014-05-02,519.0,5.0,8990.0,1.0,1.0,0,1.0
542030,2014-05-02,518.0,5.0,10790.0,1.0,1.0,,0.0
542031,2014-05-02,517.0,5.0,9038.0,1.0,1.0,0,0.0
542032,2014-05-02,516.0,5.0,8434.0,1.0,1.0,0,0.0
542033,2014-05-02,515.0,5.0,14155.0,1.0,1.0,0,0.0
542034,2014-05-02,514.0,5.0,8200.0,1.0,1.0,0,0.0
542035,2014-05-02,513.0,5.0,22386.0,1.0,1.0,0,1.0
542036,2014-05-02,512.0,5.0,6915.0,1.0,1.0,0,0.0
542037,2014-05-02,511.0,5.0,7858.0,1.0,1.0,0,1.0
542038,2014-05-02,510.0,5.0,9982.0,1.0,1.0,0,0.0
542039,2014-05-02,509.0,5.0,9479.0,1.0,1.0,0,0.0
542041,2014-05-02,507.0,5.0,13355.0,1.0,1.0,0,0.0
542042,2014-05-02,506.0,5.0,10445.0,1.0,1.0,0,0.0
542043,2014-05-02,505.0,5.0,6196.0,1.0,,0,0.0
542044,2014-05-02,504.0,5.0,10562.0,1.0,1.0,0,1.0
542045,2014-05-02,490.0,5.0,10015.0,1.0,1.0,0,0.0
542046,2014-05-02,491.0,5.0,9820.0,1.0,1.0,0,0.0
542047,2014-05-02,492.0,5.0,12117.0,1.0,1.0,0,0.0
542048,2014-05-02,493.0,5.0,10675.0,1.0,1.0,0,0.0
542049,2014-05-02,494.0,5.0,8638.0,1.0,1.0,0,1.0
542050,2014-05-02,495.0,5.0,7610.0,1.0,,0,0.0
542051,2014-05-02,,5.0,9063.0,1.0,1.0,0,0.0
542052,2014-05-02,496.0,5.0,11016.0,1.0,1.0,0,1.0
542053,2014-05-02,498.0,5.0,9475.0,1.0,1.0,0,
542054,2014-05-02,499.0,5.0,7496.0,1.0,1.0,0,0.0
542055,2014-05-02,500.0,5.0,7713.0,1.0,1.0,0,
542056,2014-05-02,501.0,5.0,7343.0,1.0,1.0,0,0.0
542057,2014-05-02,502.0,5.0,16555.0,1.0,1.0,0,0.0
542058,2014-05-02,503.0,5.0,11701.0,,1.0,0,0.0
542059,2014-05-02,497.0,5.0,14057.0,1.0,1.0,0,0.0
542060,2014-05-02,489.0,5.0,10485.0,1.0,1.0,0,0.0
542061,2014-05-02,522.0,5.0,13220.0,1.0,1.0,0,0.0
542062,2014-05-02,524.0,5.0,12551.0,1.0,1.0,0,1.0
542063,2014-05-02,280.0,5.0,8291.0,1.0,,0,0.0
542064,2014-05-02,554.0,5.0,5044.0,1.0,1.0,0,1.0
542065,2014-05-02,553.0,5.0,12085.0,1.0,1.0,0,0.0
542066,2014-05-02,552.0,5.0,12176.0,1.0,1.0,0,0.0
542067,2014-05-02,551.0,5.0,10628.0,1.0,1.0,0,1.0
542068,2014-05-02,550.0,5.0,9799.0,1.0,1.0,0,0.0
542069,2014-05-02,549.0,5.0,6279.0,1.0,1.0,0,1.0
542071,2014-05-02,547.0,5.0,8482.0,1.0,1.0,0,0.0
542073,2014-05-02,545.0,5.0,16934.0,1.0,1.0,0,0.0
542074,2014-05-02,544.0,5.0,18250.0,1.0,1.0,0,0.0
542075,2014-05-02,543.0,5.0,4653.0,1.0,1.0,0,0.0
542076,2014-05-02,542.0,5.0,8377.0,1.0,1.0,0,0.0
542077,2014-05-02,,5.0,9331.0,,1.0,0,0.0
542078,2014-05-02,540.0,5.0,9687.0,1.0,1.0,0,0.0
542079,2014-05-02,539.0,5.0,15125.0,1.0,1.0,0,0.0
542080,2014-05-02,525.0,5.0,13125.0,,1.0,0,
542081,2014-05-02,526.0,5.0,12571.0,1.0,1.0,0,1.0
542082,2014-05-02,527.0,5.0,16539.0,1.0,1.0,0,0.0
542083,2014-05-02,528.0,5.0,16020.0,1.0,1.0,0,0.0
542084,2014-05-02,529.0,5.0,11323.0,1.0,1.0,0,1.0
542085,2014-05-02,530.0,5.0,8513.0,1.0,1.0,,1.0
542086,2014-05-02,523.0,5.0,19377.0,1.0,1.0,0,1.0
542087,2014-05-02,531.0,5.0,7061.0,,1.0,0,1.0
542088,2014-05-02,533.0,5.0,13604.0,1.0,1.0,0,0.0
542089,2014-05-02,,5.0,12574.0,1.0,1.0,0,0.0
542090,2014-05-02,535.0,5.0,11597.0,1.0,1.0,0,0.0
542091,2014-05-02,536.0,5.0,12654.0,1.0,1.0,0,0.0
542092,2014-05-02,537.0,5.0,8832.0,1.0,1.0,0,0.0
542093,2014-05-02,538.0,5.0,4820.0,1.0,1.0,,1.0
542095,2014-05-02,418.0,5.0,7091.0,1.0,1.0,0,0.0
542096,2014-05-02,488.0,5.0,5216.0,1.0,1.0,0,1.0
542097,2014-05-02,486.0,5.0,6846.0,1.0,1.0,0,0.0
542098,2014-05-02,450.0,5.0,13410.0,1.0,1.0,0,0.0
542099,2014-05-02,449.0,5.0,16333.0,1.0,1.0,0,0.0
542100,2014-05-02,448.0,5.0,12607.0,,1.0,0,0.0
542101,2014-05-02,447.0,5.0,7138.0,1.0,1.0,0,1.0
542102,2014-05-02,446.0,5.0,6045.0,,1.0,0,0.0
542104,2014-05-02,444.0,5.0,24219.0,1.0,1.0,0,0.0
542105,2014-05-02,443.0,5.0,7121.0,1.0,1.0,0,0.0
542106,2014-05-02,442.0,5.0,6162.0,1.0,1.0,0,0.0
542107,2014-05-02,441.0,5.0,9642.0,1.0,1.0,0,0.0
542108,2014-05-02,440.0,5.0,7111.0,1.0,1.0,0,0.0
542109,2014-05-02,439.0,5.0,10189.0,1.0,1.0,0,1.0
542110,2014-05-02,438.0,5.0,8019.0,1.0,1.0,0,0.0
542111,2014-05-02,437.0,5.0,13517.0,1.0,1.0,0,0.0
542112,2014-05-02,436.0,5.0,7991.0,1.0,1.0,0,0.0
542113,2014-05-02,435.0,5.0,5055.0,1.0,1.0,0,
542114,2014-05-02,434.0,5.0,16480.0,1.0,1.0,0,0.0
542115,2014-05-02,420.0,5.0,6679.0,1.0,,0,0.0
542116,2014-05-02,421.0,5.0,15934.0,1.0,1.0,0,1.0
542117,2014-05-02,422.0,5.0,6708.0,1.0,1.0,0,1.0
542118,2014-05-02,423.0,5.0,12969.0,1.0,1.0,0,1.0
542119,2014-05-02,424.0,5.0,10167.0,1.0,1.0,0,0.0
542120,2014-05-02,425.0,5.0,4464.0,1.0,1.0,0,0.0
542121,2014-05-02,451.0,5.0,8196.0,1.0,1.0,0,0.0
542122,2014-05-02,426.0,5.0,6799.0,1.0,1.0,0,0.0
542123,2014-05-02,428.0,5.0,10076.0,1.0,1.0,0,0.0
542124,2014-05-02,429.0,5.0,8669.0,1.0,1.0,0,0.0
542125,2014-05-02,430.0,5.0,11912.0,1.0,1.0,0,0.0
542126,2014-05-02,431.0,5.0,15663.0,1.0,1.0,0,0.0
542127,2014-05-02,432.0,5.0,13509.0,1.0,1.0,0,1.0
542128,2014-05-02,433.0,5.0,9312.0,1.0,1.0,0,1.0
542129,2014-05-02,427.0,5.0,10339.0,1.0,1.0,0,0.0
542130,2014-05-02,487.0,5.0,11288.0,1.0,1.0,0,1.0
542131,2014-05-02,452.0,5.0,6708.0,1.0,1.0,0,1.0
542133,2014-05-02,485.0,5.0,7312.0,1.0,1.0,0,0.0
542134,2014-05-02,484.0,5.0,10964.0,1.0,1.0,0,1.0
542135,2014-05-02,483.0,5.0,6700.0,1.0,1.0,0,0.0
542136,2014-05-02,482.0,5.0,14156.0,1.0,1.0,0,0.0
542137,2014-05-02,481.0,5.0,7266.0,1.0,1.0,0,0.0
542138,2014-05-02,480.0,5.0,5705.0,1.0,1.0,0,
542139,2014-05-02,479.0,5.0,14839.0,1.0,1.0,0,0.0
542140,2014-05-02,478.0,5.0,10305.0,1.0,1.0,0,1.0
542141,2014-05-02,477.0,5.0,10313.0,1.0,1.0,0,0.0
542142,2014-05-02,476.0,5.0,8296.0,1.0,1.0,0,0.0
542143,2014-05-02,,5.0,9236.0,1.0,1.0,0,0.0
542144,2014-05-02,474.0,,11551.0,1.0,1.0,0,1.0
542145,2014-05-02,473.0,5.0,5456.0,1.0,1.0,0,0.0
542146,2014-05-02,472.0,5.0,8536.0,1.0,1.0,0,1.0
542147,2014-05-02,471.0,5.0,8872.0,1.0,1.0,0,
542148,2014-05-02,470.0,5.0,17742.0,1.0,1.0,0,0.0
542149,2014-05-02,469.0,5.0,19679.0,1.0,1.0,0,1.0
542150,2014-05-02,455.0,5.0,12481.0,1.0,1.0,0,0.0
542151,2014-05-02,456.0,5.0,8858.0,1.0,1.0,0,0.0
542152,2014-05-02,457.0,5.0,7530.0,1.0,1.0,0,0.0
542153,2014-05-02,458.0,5.0,11188.0,1.0,1.0,0,0.0
542154,2014-05-02,459.0,5.0,12826.0,1.0,1.0,0,1.0
542155,2014-05-02,460.0,5.0,6324.0,1.0,1.0,0,0.0
542156,2014-05-02,453.0,5.0,15258.0,1.0,1.0,0,1.0
542157,2014-05-02,461.0,5.0,8027.0,,1.0,0,0.0
542158,2014-05-02,463.0,5.0,8444.0,1.0,1.0,0,0.0
542159,2014-05-02,464.0,5.0,17515.0,1.0,1.0,0,1.0
542160,2014-05-02,465.0,5.0,11461.0,1.0,1.0,0,
542161,2014-05-02,,5.0,11354.0,1.0,1.0,0,0.0
542162,2014-05-02,467.0,5.0,19162.0,1.0,1.0,0,0.0
542163,2014-05-02,468.0,5.0,12687.0,1.0,1.0,0,1.0
542164,2014-05-02,462.0,5.0,7124.0,,1.0,0,0.0
542165,2014-05-02,279.0,5.0,14990.0,1.0,1.0,0,0.0
542166,2014-05-02,140.0,5.0,10193.0,1.0,1.0,0,0.0
542167,2014-05-02,277.0,5.0,7817.0,1.0,1.0,0,0.0
542168,2014-05-02,100.0,5.0,12590.0,1.0,1.0,0,0.0
542169,2014-05-02,99.0,5.0,7736.0,1.0,1.0,0,0.0
542170,2014-05-02,98.0,5.0,7942.0,1.0,,0,0.0
542171,2014-05-02,97.0,5.0,10701.0,1.0,1.0,0,0.0
542172,2014-05-02,96.0,5.0,7213.0,1.0,1.0,0,0.0
542173,2014-05-02,95.0,5.0,11028.0,1.0,1.0,0,0.0
542174,2014-05-02,94.0,5.0,10291.0,1.0,1.0,0,
542175,2014-05-02,93.0,5.0,10623.0,1.0,1.0,0,0.0
542176,2014-05-02,92.0,5.0,7639.0,1.0,1.0,0,0.0
542177,2014-05-02,91.0,5.0,10917.0,1.0,1.0,0,0.0
542178,2014-05-02,90.0,5.0,13369.0,1.0,1.0,0,
542179,2014-05-02,89.0,5.0,8220.0,1.0,1.0,,0.0
542180,2014-05-02,88.0,5.0,8683.0,1.0,1.0,0,0.0
542181,2014-05-02,87.0,5.0,7061.0,1.0,1.0,0,1.0
542182,2014-05-02,86.0,5.0,7612.0,1.0,1.0,0,0.0
542183,2014-05-02,85.0,5.0,8351.0,1.0,1.0,0,1.0
542184,2014-05-02,84.0,5.0,17979.0,1.0,1.0,0,0.0
542185,2014-05-02,70.0,5.0,10068.0,1.0,1.0,0,1.0
542186,2014-05-02,71.0,5.0,15242.0,1.0,1.0,0,0.0
542187,2014-05-02,,5.0,6741.0,1.0,1.0,0,0.0
542188,2014-05-02,73.0,5.0,5536.0,1.0,1.0,0,1.0
542189,2014-05-02,74.0,5.0,9215.0,1.0,1.0,0,0.0
542190,2014-05-02,75.0,5.0,8948.0,1.0,1.0,0,1.0
542191,2014-05-02,101.0,,10394.0,1.0,1.0,0,1.0
542192,2014-05-02,76.0,5.0,15895.0,1.0,1.0,,0.0
542193,2014-05-02,78.0,5.0,4985.0,1.0,1.0,0,0.0
542194,2014-05-02,79.0,5.0,7635.0,1.0,1.0,0,0.0
542195,2014-05-02,80.0,5.0,10797.0,1.0,1.0,0,0.0
542196,2014-05-02,81.0,5.0,9947.0,1.0,1.0,0,0.0
542197,2014-05-02,82.0,5.0,13831.0,1.0,1.0,0,0.0
542198,2014-05-02,83.0,5.0,5815.0,1.0,1.0,0,0.0
542199,2014-05-02,77.0,5.0,11741.0,1.0,1.0,0,0.0
542200,2014-05-02,69.0,5.0,13867.0,1.0,1.0,0,0.0
542201,2014-05-02,102.0,5.0,12497.0,1.0,1.0,0,0.0
542202,2014-05-02,104.0,5.0,13166.0,1.0,1.0,0,1.0
542203,2014-05-02,135.0,5.0,8663.0,1.0,1.0,,0.0
542204,2014-05-02,134.0,5.0,6777.0,1.0,1.0,0,1.0
542205,2014-05-02,133.0,5.0,8764.0,1.0,1.0,0,1.0
542206,2014-05-02,132.0,5.0,9714.0,1.0,1.0,0,0.0
542207,2014-05-02,131.0,5.0,6720.0,1.0,1.0,0,0.0
542208,2014-05-02,,5.0,7304.0,1.0,1.0,0,0.0
542209,2014-05-02,129.0,5.0,17126.0,1.0,1.0,0,
542210,2014-05-02,128.0,5.0,11461.0,1.0,1.0,0,0.0
542211,2014-05-02,127.0,5.0,8166.0,1.0,1.0,0,0.0
542212,2014-05-02,126.0,5.0,7577.0,1.0,1.0,0,0.0
542213,2014-05-02,125.0,5.0,14021.0,1.0,1.0,0,1.0
542214,2014-05-02,,5.0,7808.0,1.0,1.0,0,0.0
542215,2014-05-02,123.0,5.0,11099.0,1.0,1.0,0,0.0
542216,2014-05-02,122.0,5.0,12988.0,1.0,1.0,0,
542217,2014-05-02,121.0,5.0,6440.0,1.0,1.0,0,0.0
542218,2014-05-02,120.0,5.0,11118.0,1.0,1.0,0,0.0
542219,2014-05-02,119.0,5.0,8674.0,1.0,1.0,0,1.0
542220,2014-05-02,105.0,5.0,7078.0,1.0,1.0,0,0.0
542221,2014-05-02,106.0,5.0,10787.0,1.0,1.0,0,1.0
542222,2014-05-02,,5.0,10472.0,1.0,1.0,0,1.0
542223,2014-05-02,108.0,5.0,16953.0,1.0,,0,0.0
542224,2014-05-02,109.0,5.0,9264.0,1.0,1.0,0,1.0
542225,2014-05-02,110.0,5.0,7724.0,1.0,1.0,0,1.0
542226,2014-05-02,103.0,5.0,6467.0,1.0,1.0,0,1.0
542227,2014-05-02,111.0,5.0,11321.0,1.0,1.0,0,0.0
542228,2014-05-02,113.0,5.0,7865.0,1.0,1.0,0,0.0
542229,2014-05-02,114.0,,8048.0,1.0,1.0,0,1.0
542230,2014-05-02,115.0,5.0,11040.0,1.0,1.0,,0.0
542231,2014-05-02,116.0,5.0,9571.0,1.0,1.0,0,1.0
542232,2014-05-02,117.0,5.0,5913.0,1.0,1.0,0,0.0
542233,2014-05-02,118.0,5.0,12765.0,1.0,1.0,0,1.0
542234,2014-05-02,112.0,5.0,8673.0,1.0,1.0,0,1.0
542235,2014-05-02,136.0,5.0,7652.0,1.0,1.0,0,0.0
542236,2014-05-02,68.0,5.0,11097.0,1.0,1.0,0,1.0
542237,2014-05-02,66.0,5.0,8728.0,,1.0,0,0.0
542238,2014-05-02,30.0,5.0,6740.0,1.0,1.0,0,0.0
542239,2014-05-02,29.0,5.0,10383.0,1.0,1.0,0,0.0
542240,2014-05-02,28.0,5.0,8094.0,1.0,1.0,0,
542241,2014-05-02,27.0,5.0,14844.0,1.0,1.0,0,0.0
542242,2014-05-02,26.0,,11290.0,,1.0,0,1.0
542244,2014-05-02,24.0,5.0,14051.0,1.0,1.0,0,0.0
542245,2014-05-02,23.0,5.0,8086.0,1.0,1.0,0,0.0
542246,2014-05-02,22.0,5.0,6835.0,1.0,1.0,0,0.0
542247,2014-05-02,21.0,5.0,8524.0,1.0,1.0,0,0.0
542248,2014-05-02,20.0,5.0,9311.0,1.0,1.0,0,0.0
542249,2014-05-02,19.0,5.0,9803.0,1.0,1.0,0,0.0
542250,2014-05-02,18.0,5.0,9631.0,1.0,1.0,0,1.0
542251,2014-05-02,17.0,5.0,9227.0,1.0,1.0,0,1.0
542252,2014-05-02,16.0,5.0,11195.0,1.0,1.0,0,0.0
542253,2014-05-02,15.0,5.0,10006.0,1.0,1.0,0,1.0
542254,2014-05-02,14.0,5.0,8089.0,1.0,1.0,0,0.0
542255,2014-05-02,556.0,5.0,9151.0,1.0,1.0,0,1.0
542256,2014-05-02,1.0,5.0,6790.0,1.0,1.0,0,0.0
542257,2014-05-02,2.0,5.0,7176.0,1.0,1.0,0,1.0
542258,2014-05-02,3.0,5.0,10994.0,1.0,,0,0.0
542259,2014-05-02,4.0,5.0,15274.0,1.0,1.0,0,1.0
542260,2014-05-02,5.0,5.0,6978.0,,1.0,0,0.0
542261,2014-05-02,31.0,5.0,9537.0,1.0,1.0,0,1.0
